Year,Month,Day,Hour,Wind_Speed,Wind_Direction
2023,10,23,18,4.55,124.763
2023,10,23,19,4.33,131.257
2023,10,23,20,4.00,125.055
2023,10,23,21,4.61,92.4666
2023,10,23,22,6.75,70.6195
2023,10,23,23,8.01,67.0841
2023,10,24,0,8.30,70.9438
2023,10,24,1,7.78,72.5916
2023,10,24,2,6.78,75.6976
2023,10,24,3,5.94,77.2207
2023,10,24,4,4.99,78.0757
2023,10,24,5,3.97,90.1212
2023,10,24,6,2.81,113.414
2023,10,24,7,2.17,149.919
2023,10,24,8,2.25,160.589
2023,10,24,9,4.07,150.397
2023,10,24,10,6.08,145.544
2023,10,24,11,7.41,148.1
2023,10,24,12,7.21,148.524
2023,10,24,13,8.12,147.659
2023,10,24,14,8.40,140.628
2023,10,24,15,8.48,138.801
2023,10,24,16,8.09,138.116
2023,10,24,17,6.85,138.637
2023,10,24,18,5.34,142.508
2023,10,24,19,4.81,146.828
2023,10,24,20,4.81,147.058
2023,10,24,21,5.07,140.342
2023,10,24,22,5.88,129.594
2023,10,24,23,6.60,123.295
2023,10,25,0,6.75,125.376
2023,10,25,1,6.94,119.097
2023,10,25,2,6.59,120.299
2023,10,25,3,6.31,122.32
2023,10,25,4,5.94,125.648
2023,10,25,5,6.01,132.192
2023,10,25,6,6.23,136.756
2023,10,25,7,5.90,141.422
2023,10,25,8,6.71,144.338
2023,10,25,9,9.20,148.13
2023,10,25,10,10.86,150.173
2023,10,25,11,11.81,154.105
